
0it [00:00, ?it/s]
741it [08:40,  1.97it/s, bound:0 nc:  7 ncall:2.3e+03 eff:32.3% logz-ratio=10.82+/-0.14 dlogz:153.612>0.1]
745it [08:42,  1.77it/s, bound:0 nc: 30 ncall:2.3e+03 eff:31.9% logz-ratio=11.38+/-0.14 dlogz:153.033>0.1]
747it [08:44,  1.64it/s, bound:0 nc:  3 ncall:2.3e+03 eff:31.9% logz-ratio=11.71+/-0.14 dlogz:152.767>0.1]
751it [08:45,  1.88it/s, bound:0 nc: 14 ncall:2.4e+03 eff:31.8% logz-ratio=12.78+/-0.14 dlogz:151.785>0.1]
754it [08:47,  1.96it/s, bound:0 nc:  3 ncall:2.4e+03 eff:31.7% logz-ratio=13.43+/-0.14 dlogz:151.029>0.1]
757it [08:48,  2.02it/s, bound:0 nc:  9 ncall:2.4e+03 eff:31.7% logz-ratio=14.10+/-0.14 dlogz:150.372>0.1]
761it [08:49,  2.22it/s, bound:0 nc:  7 ncall:2.4e+03 eff:31.6% logz-ratio=14.97+/-0.14 dlogz:149.501>0.1]
763it [08:51,  1.91it/s, bound:0 nc: 10 ncall:2.4e+03 eff:31.4% logz-ratio=15.48+/-0.15 dlogz:149.019>0.1]
766it [08:52,  1.95it/s, bound:0 nc: 11 ncall:2.4e+03 eff:31.3% logz-ratio=16.43+/-0.15 dlogz:148.102>0.1]
768it [08:54,  1.75it/s, bound:0 nc:  5 ncall:2.5e+03 eff:31.3% logz-ratio=16.89+/-0.15 dlogz:147.555>0.1]
771it [08:55,  1.86it/s, bound:0 nc:  4 ncall:2.5e+03 eff:31.2% logz-ratio=17.39+/-0.14 dlogz:147.013>0.1]
775it [08:56,  2.07it/s, bound:0 nc:  5 ncall:2.5e+03 eff:31.2% logz-ratio=17.92+/-0.14 dlogz:146.460>0.1]
778it [08:58,  2.08it/s, bound:0 nc: 12 ncall:2.5e+03 eff:31.0% logz-ratio=18.50+/-0.14 dlogz:145.988>0.1]
779it [08:59,  1.32it/s, bound:0 nc:  7 ncall:2.5e+03 eff:30.9% logz-ratio=18.91+/-0.15 dlogz:145.734>0.1]
781it [09:01,  1.35it/s, bound:0 nc: 13 ncall:2.5e+03 eff:30.8% logz-ratio=19.66+/-0.15 dlogz:144.937>0.1]
784it [09:02,  1.53it/s, bound:0 nc:  9 ncall:2.5e+03 eff:30.8% logz-ratio=20.50+/-0.15 dlogz:143.998>0.1]
790it [09:03,  1.90it/s, bound:0 nc:  6 ncall:2.6e+03 eff:30.7% logz-ratio=21.74+/-0.15 dlogz:142.706>0.1]
792it [09:05,  1.71it/s, bound:0 nc: 14 ncall:2.6e+03 eff:30.6% logz-ratio=22.29+/-0.15 dlogz:142.218>0.1]
794it [09:06,  1.59it/s, bound:0 nc:  9 ncall:2.6e+03 eff:30.6% logz-ratio=22.96+/-0.15 dlogz:141.565>0.1]
800it [09:08,  1.97it/s, bound:0 nc:  7 ncall:2.6e+03 eff:30.6% logz-ratio=24.58+/-0.15 dlogz:139.964>0.1]
802it [09:09,  1.78it/s, bound:0 nc: 14 ncall:2.6e+03 eff:30.5% logz-ratio=25.10+/-0.15 dlogz:139.317>0.1]
805it [09:10,  1.88it/s, bound:0 nc:  7 ncall:2.6e+03 eff:30.4% logz-ratio=25.82+/-0.15 dlogz:138.650>0.1]
808it [09:12,  1.96it/s, bound:0 nc:  6 ncall:2.7e+03 eff:30.3% logz-ratio=26.61+/-0.15 dlogz:137.843>0.1]
810it [09:13,  1.84it/s, bound:0 nc:  2 ncall:2.7e+03 eff:30.2% logz-ratio=27.14+/-0.15 dlogz:137.272>0.1]
815it [09:14,  2.17it/s, bound:0 nc: 11 ncall:2.7e+03 eff:30.2% logz-ratio=28.45+/-0.15 dlogz:136.027>0.1]
818it [09:16,  2.22it/s, bound:0 nc:  7 ncall:2.7e+03 eff:30.1% logz-ratio=29.27+/-0.15 dlogz:135.114>0.1]
822it [09:17,  2.42it/s, bound:0 nc: 15 ncall:2.7e+03 eff:30.0% logz-ratio=30.34+/-0.15 dlogz:134.069>0.1]
