
0it [00:00, ?it/s]
641it [07:38,  1.33it/s, bound:0 nc: 11 ncall:1.8e+03 eff:36.0% logz-ratio=149.43+/-0.05 dlogz:2.574>0.1]
643it [07:39,  1.47it/s, bound:0 nc:  8 ncall:1.8e+03 eff:35.8% logz-ratio=149.43+/-0.05 dlogz:2.566>0.1]
644it [07:40,  1.33it/s, bound:0 nc:  9 ncall:1.8e+03 eff:35.7% logz-ratio=149.44+/-0.05 dlogz:2.562>0.1]
645it [07:41,  1.21it/s, bound:0 nc:  8 ncall:1.8e+03 eff:35.6% logz-ratio=149.44+/-0.05 dlogz:2.557>0.1]
646it [07:42,  1.14it/s, bound:0 nc:  3 ncall:1.8e+03 eff:35.6% logz-ratio=149.44+/-0.05 dlogz:2.553>0.1]
649it [07:43,  1.43it/s, bound:0 nc:  3 ncall:1.8e+03 eff:35.6% logz-ratio=149.45+/-0.05 dlogz:2.541>0.1]
651it [07:45,  1.32it/s, bound:0 nc: 12 ncall:1.8e+03 eff:35.4% logz-ratio=149.45+/-0.05 dlogz:2.533>0.1]
653it [07:48,  1.07s/it, bound:0 nc: 29 ncall:1.9e+03 eff:34.9% logz-ratio=149.46+/-0.05 dlogz:2.525>0.1]
654it [07:49,  1.02s/it, bound:0 nc:  4 ncall:1.9e+03 eff:34.8% logz-ratio=149.46+/-0.05 dlogz:2.521>0.1]
657it [07:50,  1.25it/s, bound:0 nc:  1 ncall:1.9e+03 eff:34.9% logz-ratio=149.47+/-0.05 dlogz:2.509>0.1]
660it [07:51,  1.53it/s, bound:0 nc:  2 ncall:1.9e+03 eff:34.8% logz-ratio=149.47+/-0.05 dlogz:2.497>0.1]
664it [07:52,  1.89it/s, bound:0 nc:  1 ncall:1.9e+03 eff:34.9% logz-ratio=149.48+/-0.05 dlogz:2.481>0.1]
665it [07:53,  1.49it/s, bound:0 nc: 12 ncall:1.9e+03 eff:34.8% logz-ratio=149.49+/-0.05 dlogz:2.477>0.1]
667it [07:54,  1.64it/s, bound:0 nc:  4 ncall:1.9e+03 eff:34.7% logz-ratio=149.49+/-0.05 dlogz:2.469>0.1]
